fk_modul_id;Artengruppe;BV_Art;Fokus;Sphaere;Biol_Fokus_f;Sphaere_f;Progrshort
02ccf273-5911-484c-bf32-cadc4cdb5902;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02ccf273-5911-484c-bf32-cadc4cdb5902;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02ccf273-5911-484c-bf32-cadc4cdb5902;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02ccf273-5911-484c-bf32-cadc4cdb5902;Algen;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02ccf273-5911-484c-bf32-cadc4cdb5902;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
1e496af5-d530-41a8-96a7-783ebec83320;Algen;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
1e496af5-d530-41a8-96a7-783ebec83320;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
1e496af5-d530-41a8-96a7-783ebec83320;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
1e496af5-d530-41a8-96a7-783ebec83320;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
1e496af5-d530-41a8-96a7-783ebec83320;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
65a396a9-4b86-4314-a03d-5154f98ae1b7;Algen;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
65a396a9-4b86-4314-a03d-5154f98ae1b7;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
65a396a9-4b86-4314-a03d-5154f98ae1b7;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
65a396a9-4b86-4314-a03d-5154f98ae1b7;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
65a396a9-4b86-4314-a03d-5154f98ae1b7;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
f84152e9-54ee-4dfe-89c6-c384a35e9890;Algen;Phänologie;Keiner;marin;Keiner;marin;BLMP
a834a70f-0ad6-45aa-9665-df9e2517db28;Algen;Phänologie;Keiner;marin;Keiner;marin;BLMP
afe7371f-1005-417d-bf99-17f8e7c81458;Algen;Phänologie;Artengruppen;marin;Artengruppen;marin;BLMP
afe7371f-1005-417d-bf99-17f8e7c81458;Mikroorganismen;Phänologie;Artengruppen;marin;Artengruppen;marin;BLMP
c9501834-40b9-4313-ac28-307ca4a823f4;Algen;Phänologie;Artengruppen;marin;Artengruppen;marin;BLMP
c9501834-40b9-4313-ac28-307ca4a823f4;Mikroorganismen;Phänologie;Artengruppen;marin;Artengruppen;marin;BLMP
d4146a6d-f171-4e84-9d22-b6de16fd7aac;Algen;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
365b4f31-b1f0-4a4c-97ae-486985ada15e;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
365b4f31-b1f0-4a4c-97ae-486985ada15e;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
365b4f31-b1f0-4a4c-97ae-486985ada15e;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02723c41-1f60-4355-af25-44bf3c08ed93;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02723c41-1f60-4355-af25-44bf3c08ed93;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
02723c41-1f60-4355-af25-44bf3c08ed93;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
83a0ff46-30cd-44f9-b323-a72c69647b9f;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
121175d1-82bb-46f8-8056-160440babf07;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
667d3223-be08-4a04-9747-ec11f22dcc87;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
bf854d78-a629-4ff5-ac4c-c29b06b28bf4;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
971cc561-cc99-405c-83aa-c7ff5c499ba3;Fische;Artenhäufigkeiten;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
31509a87-722e-4fb6-93e2-eb665068a2c5;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
a13ca263-b812-4127-8a4b-6016142875a8;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
956de785-2545-49fa-9e2c-d5096ded4f23;Fische;Artenhäufigkeiten;Artengruppen;marin;Artengruppen;marin;BLMP
956de785-2545-49fa-9e2c-d5096ded4f23;Andere Wirbellose;Artenhäufigkeiten;Artengruppen;marin;Artengruppen;marin;BLMP
